SP9009LTRAC3T4,"IF 9009lt Sn96,5Ag3Cu0,5 - type 4 - 88% Solderpaste (500g jar)","solder paste IF 9009LT Sn96,5Ag3Cu0,5 88% 500g jar"
SP9010A+/84,"IF 9010 Sn95,8Ag4,2 - type 3 - 84% - Solderpaste (450g jar)","solder paste IF 9010 Sn95,8Ag4,2 84% 450g jar"
SW06SN62050,IF14-06 Sn62Pb36Ag2  0.5mm Solderwire (6kg box),"solder wire IF 14 Sn62Pb36Ag2 0,5mm 0,6% 500g spool"
SW06SN63070,IF14-06 Sn63Pb37  0.7mm Solderwire (6kg box),"solder wire IF 14 Sn63Pb37 0,7mm 0,6% 500g spool"
SW06SN63100,IF14-06 Sn63Pb37  1.0mm Solderwire (6kg box),"solder wire IF 14 Sn63Pb37 1,0mm 0,6% 500g spool"
SW09SN62070,IF14-09 Sn62Pb36Ag2  0.7mm Solderwire (6kg box),"solder wire IF 14 Sn62Pb36Ag2 0,7mm 0,9% 500g spool"
SW09SN63035,IF14-09 Sn63Pb37  0.35mm Solderwire (100g spool),"solder wire IF 14 Sn63Pb37 0,35mm 0,9% 100g spool"
SW09SN63050,IF14-09 Sn63Pb37  0.5mm Solderwire (6kg box),"solder wire IF 14 Sn63Pb37 0,5mm 0,9% 500g spool"
SP9007SD,IF 9007' Sn62Pb36Ag2 - type 3 - 84% Solderpaste (30cc syr),solder paste IF 9007 Sn62Pb36Ag2 84% 30cc syringe
SP9009LTSC,IF 9009lt Sn62Pb36Ag2 - type 3 - 86% Solderpaste (10cc syr),solder paste IF 9009LT Sn62Pb36Ag2 86% 10cc syringe
SW06SN63050,IF14-06 Sn63Pb37  0.5mm Solderwire (6kg box),"solder wire IF 14 Sn63Pb37 0,5mm 0,6% 500g spool"
SP9009LTSD,IF 9009lt Sn62Pb36Ag2 - type 3 - 86% Solderpaste (30cc syr),solder paste IF 9009LT Sn62Pb36Ag2 86% 30cc syringe
SP9009LTU,IF 9009lt Sn63Pb37 - type 3 - 90% Solderpaste (500g jar),solder paste IF 9009LT Sn63Pb37 90% 500g jar
SP9009LTSCAC4,"IF 9009lt Sn95,5Ag4Cu0,5 - type 3 - 84% - Solderpaste (10cc syr)","solder paste IF 9009LT Sn95,5Ag4Cu0,5 84% 10cc syringe"
SP9009LTSDAC4,"IF 9009lt Sn95,5Ag4Cu0,5 - type 3 - 84% - Solderpaste (30cc syr)","solder paste IF 9009LT Sn95,5Ag4Cu0,5 84% 30cc syringe"
SW06SN96070,"IF14-06 Sn96,5Ag3,5  0.7mm Solderwire (6kg box)","solder wire IF 14 Sn96,5Ag3,5 0,7mm 0,6% 500g spool"
SW14SN60035,IF14-14 Sn60Pb40  0.35mm Solderwire (6kg box-100g spool),"solder wire IF 14 Sn60Pb40 0,35mm 1,4% 100g spool"
